experience,country,education,languages,frameworks,company_size,salary_usd
23,Brazil,Bachelors,"Python, Go","Ruby on Rails, React",201-1000,100033
10,Australia,Masters,"Go, C++","Vue, Django",51-200,73781
16,USA,Masters,"JavaScript, JavaScript","Flask, Laravel",5000+,-6584
26,USA,Masters,,"React, Angular",1001-5000,182153
33,UK,Bachelors,"Ruby, Swift","Laravel, Express",5000+,162399
27,UK,Bachelors,"Swift, Rust","Spring, Angular",1-10,144280
,USA,Masters,,,5000+,255517
6,UK,Masters,"Ruby, Ruby","Laravel, Angular",51-200,91530
26,USA,,"JavaScript, PHP","Express, Spring",1-10,155212
33,USA,Bachelors,"Go, Java","Django, Ruby on Rails",201-1000,223471
19,USA,Masters,"JavaScript, PHP","Vue, Django",1001-5000,-13923
3,Australia,Bachelors,"JavaScript, Go","Laravel, React",51-200,63044
31,USA,Bachelors,"Python, PHP","Spring, Flask",201-1000,195398
5,USA,Bachelors,"PHP, C++",,5000+,138776
8,Canada,Bachelors,"Java, PHP",,1001-5000,84606
30,Canada,Masters,"Python, C++","Vue, Angular",1001-5000,139020
27,India,Bachelors,,"React, Ruby on Rails",1001-5000,89321
28,Germany,Masters,"Rust, Java","React, Laravel",1-10,172123
25,USA,Masters,"Ruby, JavaScript",,201-1000,162947
39,UK,Masters,"Ruby, C++","Flask, Laravel",201-1000,163870
12,USA,Bachelors,"Python, PHP","Flask, Laravel",11-50,120108
,India,Masters,"Go, Rust","Flask, Laravel",11-50,113535
35,UK,Masters,"Python, Swift","React, React",1001-5000,142775
37,Germany,Masters,"JavaScript, C#",,1001-5000,157914
38,USA,Some College,"Java, Go","React, Spring",5000+,220992
21,USA,Some College,,"Angular, React",1-10,167871
13,France,Bachelors,"Go, Swift","Django, ASP.NET",5000+,
17,Canada,Bachelors,"Java, C#","Django, ASP.NET",11-50,114899
15,USA,Masters,"Ruby, JavaScript","Express, Flask",201-1000,148527
15,UK,BACHELORS,"Go, Java","React, Angular",51-200,
36,USA,Bachelors,,"Laravel, Angular",1001-5000,227642
5,USA,Bachelors,"Go, Ruby","Ruby on Rails, ASP.NET",5000+,141206
21,United States,Masters,"Swift, Swift","Django, Flask",201-1000,155218
18,France,Bachelors,"Java, Java","Django, Ruby on Rails",5000+,116902
11,Canada,Bachelors,"Swift, Python","Angular, Laravel",201-1000,108660
8,India,Masters,"JavaScript, Swift","Express, Vue",1-10,46408
18,USA,Bachelors,"PHP, Go","Ruby on Rails, Django",11-50,143563
30,Canada,Masters,"PHP, Rust","ASP.NET, Ruby on Rails",201-1000,145124
10,USA,Some College,"C++, Swift","Angular, Angular",1001-5000,125179
26,CA,Bachelors,"Go, C#","Vue, Ruby on Rails",51-200,154729
33,Canada,Some College,"Swift, Java","Spring, Vue",51-200,130331
39,Canada,Bachelors,"Go, Go","Laravel, Angular",1001-5000,171142
3,France,Bachelors,"C++, C#","Angular, Ruby on Rails",51-200,52467
36,France,Masters,"C++, C#","Spring, React",5000+,156068
9,Canada,Masters,"Java, PHP","React, React",5000+,131121
7,India,Bachelors,"C#, Python","Angular, Django",201-1000,43147
26,UK,Bachelors,"Rust, Java","React, Laravel",11-50,114722
5,France,High School,"JavaScript, Python","Django, Django",5000+,78522
37,Canada,  Bachelors  ,"Java, PHP","Ruby on Rails, Laravel",51-200,199582
17,Japan,Bachelors,"PHP, C#","Angular, React",1001-5000,103867
14,Germany,Bachelors,"Java, Rust",,201-1000,81641
2,USA,Bachelors,,"Flask, Vue",5000+,91168
21,USA,Bachelors,"PHP, Ruby","Django, Laravel",5000+,160231
1,India,Bachelors,"PHP, Python","Django, Django",1001-5000,16146
21,France,Bachelors,"C++, Java","Vue, Ruby on Rails",1001-5000,92108
20,Australia,Masters,"Go, Ruby","Express, Django",51-200,120651
29,UK,High School,"Rust, Ruby","ASP.NET, Ruby on Rails",11-50,168786
36,Germany,Masters,"Python, Swift","Flask, Django",201-1000,174992
32,UK,Bachelors,,"Express, ASP.NET",1-10,141822
17,United States,Bachelors,"Java, C#","Ruby on Rails, ASP.NET",51-200,165445
39,india,Masters,"Java, Java","Vue, Spring",201-1000,114185
29,Australia,PhD,"Python, Rust","Laravel, Ruby on Rails",1-10,148483
32,France,Some College,"Java, Rust","Ruby on Rails, Spring",201-1000,171612
33,Brazil,Masters,"Python, Swift","Ruby on Rails, Express",5000+,199059
37,USA,Bachelors,"Swift, C#","Laravel, React",51-200,205271
28,Canada,Masters,"Swift, C++","Spring, Angular",51-200,147020
20,Germany,Bachelors,"PHP, Rust","React, Angular",201-1000,120210
26,India,High School,"Swift, PHP","ASP.NET, Laravel",51-200,97520
7,UK,Masters,,"React, Ruby on Rails",11-50,missing
32,UK,Bachelors,"C++, C#","Express, Vue",51-200,128572
27,US,,"Rust, Rust","ASP.NET, Flask",201-1000,139839
32,USA,PhD,"JavaScript, JavaScript","Express, Laravel",51-200,228701
10,UK,Bachelors,"PHP, Java","Laravel, Django",51-200,107894
22,USA,Bachelors,"Python, Ruby","Flask, Laravel",1001-5000,126942
0,Germany,Masters,"Ruby, Swift","Spring, Flask",1001-5000,1368677
15,USA,Bachelors,"Python, PHP","Vue, Express",5000+,120499
40,Japan,Masters,"PHP, Swift","Angular, Ruby on Rails",5000+,185143
20,Canada,Bachelors,"Go, PHP","Express, Express",5000+,156186
10,UK,,"JavaScript, C++","Express, Vue",1-10,115006
3,UK,Bachelors,"Rust, Ruby","Ruby on Rails, React",1-10,72894
10,Canada,Masters,"C++, C#",,51-200,83965
,Germany,Bachelors,"Python, Go",,1-10,130142
23,USA,Bachelors,"PHP, Rust","Laravel, Spring",1001-5000,185981
12,USA,Some College,"PHP, JavaScript","Vue, Vue",11-50,139122
40,Germany,,"C++, PHP","Ruby on Rails, Vue",51-200,145151
31,USA,Masters,"JavaScript, C++","Django, Express",1001-5000,155367
11,USA,Bachelors,"Swift, Ruby","Ruby on Rails, ASP.NET",201-1000,107485
3,USA,Bachelors,"Ruby, JavaScript","Angular, Angular",11-50,79533
26,India,Masters,"Swift, Python","Spring, Django",11-50,87548
3,USA,Bachelors,"Ruby, Python","Flask, Spring",1001-5000,111102
31,USA,Some College,"Swift, Java","Django, ASP.NET",201-1000,216298
2,USA,Masters,,"Flask, React",11-50,104604
10,UK,bachelors,"PHP, Python","Spring, Django",5000+,116664
32,FR,,"Ruby, Java","Ruby on Rails, Ruby on Rails",5000+,197477
34,  UK  ,Bachelors,"Swift, C++",,5000+,
35,Japan,Masters,"Go, PHP","Django, Spring",51-200,147687
12,India,,"Java, Python","Flask, Vue",1-10,
29,India,Some College,"Python, Java","Django, Vue",1-10,101801
9,USA,Bachelors,"Ruby, C++","ASP.NET, React",1001-5000,112086
1,Germany,,"C#, Python","Express, Spring",1001-5000,72059
6,USA,Bachelors,"Java, Ruby","Angular, Laravel",201-1000,121289
25,USA,Masters,"Python, Swift","Django, Django",11-50,187702
17,USA,Bachelors,"Python, Go","Ruby on Rails, Laravel",1-10,145478
11,UK,Masters,"Rust, PHP","Vue, Laravel",5000+,97811
30,Germany,Bachelors,"C++, Rust","Spring, Flask",51-200,155471
31,Germany,Bachelors,"Go, Ruby","Flask, React",1001-5000,131392
25,Brazil,Some College,"Java, C++","Angular, Laravel",51-200,127277
32,USA,Bachelors,"Java, Rust","Angular, ASP.NET",1001-5000,218142
9,India,Bachelors,"Swift, Java","Angular, Laravel",1001-5000,45927
,Germany,HIGH SCHOOL,"C++, Ruby","Angular, Ruby on Rails",11-50,65175
38,India,Bachelors,"Python, Rust","Flask, Spring",1-10,140901
10,Japan,Bachelors,"Swift, C++","ASP.NET, React",11-50,79402
35,USA,Masters,"PHP, Go","Spring, ASP.NET",5000+,190615
,Japan,Some College,"Rust, Python","Express, Vue",1-10,117792
11,USA,Bachelors,"JavaScript, JavaScript","Spring, Angular",5000+,
12,Japan,Bachelors,"Java, JavaScript",,1-10,76447
28,USA,Some College,"Python, Python","Ruby on Rails, Ruby on Rails",5000+,184607
32,USA,Masters,"C#, PHP",,5000+,191712
26,UK,Masters,"Java, Swift","ASP.NET, Flask",201-1000,1231792
7,Japan,Bachelors,"Python, C++","Django, ASP.NET",5000+,
33,India,Some College,"Ruby, JavaScript","React, Vue",5000+,121264
6,Canada,Masters,,"React, Ruby on Rails",1-10,97059
10,USA,Bachelors,"Java, PHP","Flask, Spring",201-1000,124422
31,Canada,,"Ruby, Java","React, Django",201-1000,168133
30,USA,Masters,"C#, JavaScript","Spring, Express",1-10,192380
58,USA,Masters,"Go, PHP","React, Django",51-200,122107
11,USA,Bachelors,"Ruby, Rust","ASP.NET, Angular",201-1000,missing
9,Japan,Masters,"Swift, C#","Vue, ASP.NET",201-1000,100242
1,USA,PhD,"Java, Swift","Django, Laravel",5000+,117704
38,USA,Masters,"C#, C#","Express, Laravel",1-10,172117
5,USA,PhD,"Java, C++","Express, React",1-10,121231
4,USA,Bachelors,"Go, Rust","Express, ASP.NET",51-200,84853
33,Canada,Bachelors,"JavaScript, PHP","Django, React",1-10,157299
33,India,Bachelors,"Java, C#","React, ASP.NET",1001-5000,118442
26,India,Masters,,"ASP.NET, React",201-1000,98481
28,India,PhD,"Ruby, Python","Express, Django",51-200,110374
33,UK,Bachelors,"Java, JavaScript","Ruby on Rails, Vue",11-50,168114
11,Canada,Bachelors,,,201-1000,76920
?,France,Bachelors,"Swift, Java","React, Ruby on Rails",5000+,208809
10,USA,Bachelors,"Rust, Swift","Ruby on Rails, Django",5000+,122061
9,USA,Masters,"Java, Java","Ruby on Rails, React",1001-5000,125439
12,Japan,High School,,"Flask, ASP.NET",5000+,105592
37,USA,Bachelors,"PHP, PHP","Vue, Vue",1001-5000,NA
,UK,Bachelors,"C#, JavaScript","Ruby on Rails, React",11-50,
7,India,Some College,"PHP, Go","React, Spring",1001-5000,38913
39,USA,Masters,"Swift, Swift","Vue, Vue",51-200,-4662
62,Japan,Some College,"C++, Java","Flask, React",51-200,85921
39,USA,Bachelors,"C#, C++","React, Flask",11-50,200238
0,USA,Bachelors,"Swift, Python","Laravel, Django",5000+,90467
5,USA,PhD,"Rust, Java","Vue, React",1001-5000,107223
13,Canada,Masters,"Go, Rust","ASP.NET, Vue",201-1000,121196
,Germany,High School,"Python, Python","React, Django",201-1000,101743
19,France,Bachelors,"C#, PHP","Express, Flask",51-200,110516
39,Australia,Bachelors,"Swift, Go","React, Flask",1001-5000,171021
36,Singapore,Bachelors,"Swift, Go","Flask, Ruby on Rails",1001-5000,166378
15,India,Bachelors,"Swift, Ruby","ASP.NET, Angular",11-50,63626
34,UK,,"Go, Go","React, Spring",1001-5000,152351
6,India,Bachelors,"C#, Ruby","Flask, React",11-50,33908
NA,USA,Bachelors,"Rust, Swift","React, Django",201-1000,182374
30,USA,,"JavaScript, Rust","Flask, Laravel",5000+,183066
20,UK,Masters,"Java, Python","Vue, Vue",5000+,118379
27,USA,MASTERS,"Go, Go","Spring, Django",51-200,146762
6,Canada,Bachelors,"Java, C#","Ruby on Rails, Django",11-50,76899
18,Germany,Bachelors,"JavaScript, Go","ASP.NET, Vue",51-200,93524
19,UK,Masters,"Java, JavaScript","Angular, Flask",201-1000,127169
8,Canada,Bachelors,"C#, Swift","ASP.NET, Spring",11-50,
7,USA,Bachelors,"Python, JavaScript","React, Express",1-10,97406
21,USA,Some College,"Python, Python","Express, Ruby on Rails",201-1000,135168
39,Germany,,"JavaScript, Java","Laravel, Vue",11-50,187103
14,USA,Masters,"Rust, Go","Vue, Ruby on Rails",1001-5000,162455
27,India,Bachelors,"C++, Rust","Vue, Angular",1-10,95587
34,France,  Masters  ,"C++, C#","Angular, Ruby on Rails",201-1000,1240524
39,India,Bachelors,"Java, Java",,1-10,156502
23,Germany,Bachelors,"C++, PHP","Laravel, Spring",201-1000,139207
31,USA,Bachelors,"Swift, Go","Express, Ruby on Rails",11-50,196379
2,USA,Bachelors,"C++, C#","Flask, Ruby on Rails",201-1000,102889
-1,Germany,Bachelors,"Go, Python","Express, Angular",1001-5000,119241
0,India,High School,"Ruby, JavaScript","Angular, Angular",1-10,12809
26,USA,High School,,"Django, Django",1001-5000,180530
33,  Germany  ,Bachelors,"JavaScript, Rust","Spring, Django",51-200,176855
18,Brazil,Masters,"Go, Swift",,5000+,128312
0,India,Some College,"Swift, Java","ASP.NET, Express",1-10,missing
16,USA,Some College,,"Spring, Express",11-50,134559
18,USA,Bachelors,"Python, JavaScript","Express, Laravel",51-200,156090
31,Canada,,"Python, PHP","Vue, Django",1-10,
33,USA,Bachelors,"C#, Go","Spring, Vue",5000+,171529
35,Japan,Bachelors,"C++, C++","Ruby on Rails, Ruby on Rails",201-1000,164125
34,Japan,High School,"C#, Ruby","Spring, Spring",201-1000,134551
28,USA,Master's,"C#, Go","Ruby on Rails, Angular",1001-5000,218014
26,USA,,"PHP, JavaScript",,1-10,196420
18,USA,Masters,"Swift, Python","Laravel, Express",1001-5000,142668
38,USA,Bachelors,"JavaScript, Python","Angular, Laravel",201-1000,1133030
32,USA,Bachelors,"Ruby, Python","Express, Spring",1001-5000,159993
25,USA,,"C++, C++","Ruby on Rails, Django",201-1000,174690
20,USA,Bachelors,"Java, JavaScript","Vue, Flask",201-1000,145889
9,USA,Bachelors,"PHP, C++",,11-50,135106
4,USA,PhD,"Java, JavaScript","Vue, Laravel",5000+,110467
8,Canada,Masters,"Ruby, Ruby","Vue, ASP.NET",1-10,82879
31,UK,Bachelors,"Ruby, C#",,11-50,154180
13,USA,PhD,"Ruby, Java","Flask, Express",1001-5000,172709
10,Canada,Bachelors,"Java, PHP","Vue, ASP.NET",1-10,96209
40,USA,Bachelors,"C#, Go","Laravel, Express",5000+,221100
26,Australia,Bachelors,"Ruby, JavaScript","ASP.NET, Django",51-200,141757
10,Australia,Bachelors,"C++, Go","React, Vue",5000+,83950
23,UK,Masters,"Go, Rust","Laravel, Spring",51-200,-45850
40,USA,Bachelors,"C++, PHP","ASP.NET, Express",5000+,?
null,Germany,Bachelors,"Java, Rust","Express, Laravel",201-1000,
2,USA,Bachelors,"Go, Swift","Angular, Laravel",51-200,97399
31,USA,Bachelors,"Rust, Swift","Ruby on Rails, Spring",5000+,206292
19,USA,Bachelors,"Ruby, Java","Django, Spring",1-10,123344
30,India,Masters,"JavaScript, C++","Laravel, Express",51-200,120481
30,United Kingdom,Bachelors,"Rust, Python","Express, Ruby on Rails",51-200,177384
15,USA,Masters,"PHP, C++","Ruby on Rails, React",201-1000,127255
20,USA,Bachelors,"C++, JavaScript","Express, Angular",1-10,146898
2,INDIA,Bachelors,"Go, Go","ASP.NET, Flask",201-1000,20041
33,USA,PhD,"Go, Go","Express, ASP.NET",51-200,217480
2,USA,Bachelors,"Swift, Swift","Flask, Vue",201-1000,92293
,USA,Bachelors,"Java, PHP","Django, React",201-1000,79766
0,USA,,"JavaScript, PHP","Laravel, Ruby on Rails",11-50,109913
,USA,Masters,"Java, C++","Spring, Laravel",201-1000,136757
15,France,Bachelors,"Swift, JavaScript","Spring, Express",5000+,125663
23,UK,Bachelors,"Ruby, Python","Spring, Ruby on Rails",11-50,
2,Germany,Masters,"Swift, C#","ASP.NET, Angular",51-200,89773
14,Germany,Bachelors,"Java, Swift","Vue, Ruby on Rails",1001-5000,91248
30,USA,Masters,"C#, C#","Django, Flask",1-10,
35,USA,,"Swift, C++","Laravel, Spring",11-50,180306
28,UK,Bachelors,"JavaScript, Python","Angular, ASP.NET",11-50,131775
9,USA,Masters,"Ruby, Python","Spring, Flask",51-200,118444
19,USA,Masters,"Rust, Go","Ruby on Rails, Laravel",5000+,144056
26,usa,Masters,"C#, PHP","Laravel, Spring",1-10,212115
28,USA,Bachelors,"Ruby, Swift","Spring, React",5000+,161942
29,USA,Masters,"PHP, C++","ASP.NET, Ruby on Rails",11-50,163895
14,Canada,Bachelors,"Ruby, C++","Laravel, Vue",1001-5000,83331
39,UK,,"Swift, Go","Ruby on Rails, Django",201-1000,152282
3,UK,Bachelors,"PHP, Ruby","Flask, Vue",201-1000,81274
23,USA,Bachelors,,"React, Angular",1001-5000,137700
N/A,India,Bachelors,"C#, Ruby","ASP.NET, Vue",11-50,24295
22,Canada,High School,,"React, Django",11-50,114127
9,France,Bachelors,"C#, Python","ASP.NET, Spring",201-1000,85764
19,USA,Bachelors,"Ruby, Swift","Express, Flask",1001-5000,144376
37,UK,Bachelors,"Go, Go","Ruby on Rails, ASP.NET",11-50,140298
22,USA,Bachelors,"JavaScript, PHP","Angular, React",11-50,156888
67,USA,Bachelors,"Java, Swift","React, React",1001-5000,110496
32,UK,Some College,"C++, PHP","Laravel, Spring",201-1000,152377
22,USA,Some College,"JavaScript, JavaScript","React, React",1-10,
7,UK,Bachelors,"JavaScript, PHP","React, Express",1-10,94499
32,FR,Masters,"Go, Go","Vue, ASP.NET",11-50,NaN
24,Germany,MASTERS,"Swift, JavaScript","ASP.NET, React",1001-5000,
27,India,Bachelors,"Python, PHP",,201-1000,109302
33,Germany,Bachelors,"C#, Go",,1-10,140159
40,India,Masters,"Ruby, Python","Angular, ASP.NET",11-50,131393
30,USA,Masters,"Rust, Go","Spring, Ruby on Rails",11-50,219279
25,Brazil,Bachelors,,"Flask, ASP.NET",1-10,121270
33,Japan,Bachelors,"C++, Python","Express, Vue",201-1000,148578
4,India,Bachelors,"Java, Java","Express, Laravel",11-50,27229
,USA,High School,"Go, Ruby","Ruby on Rails, Vue",1-10,119535
36,uk,Bachelors,"C#, Python","Angular, Angular",1-10,154062
15,Japan,masters,"PHP, Python","ASP.NET, Laravel",11-50,99036
14,India,,"Python, JavaScript","Django, React",5000+,98208
15,USA,Bachelors,"JavaScript, C#","React, Spring",1001-5000,122223
17,USA,Bachelors,"C++, Go","Flask, Express",1001-5000,165579
5,Australia,Masters,,"Vue, Express",1001-5000,
20,India,Bachelors,"C#, Swift","ASP.NET, Flask",1001-5000,?
35,UK,Masters,"Go, C++","React, Ruby on Rails",11-50,171521
2,FR,Masters,"Swift, C#","ASP.NET, Django",1001-5000,54420
15,USA,High School,"C++, Ruby","ASP.NET, Laravel",11-50,137835
29,USA,Bachelors,"Swift, JavaScript","React, React",201-1000,184984
8,USA,Some College,"JavaScript, JavaScript","React, Django",1001-5000,99022
20,India,Some College,"Go, Ruby","ASP.NET, Flask",11-50,89954
14,UK,Masters,"Python, C++","Django, Ruby on Rails",1-10,113475
,Germany,High School,"Python, PHP","Vue, Spring",1001-5000,69044
36,India,PhD,"C#, Ruby","Vue, Express",201-1000,133422
40,USA,Bachelors,"Swift, Ruby","Flask, Laravel",5000+,243890
36,UK,Masters,"Ruby, Python","Ruby on Rails, Vue",5000+,226313
22,India,Bachelors,"Ruby, JavaScript","Flask, Angular",5000+,84038
38,USA,Masters,"JavaScript, C++","Flask, Angular",201-1000,232790
,USA,Some College,"Rust, Swift","Ruby on Rails, Spring",201-1000,127466
,USA,Masters,"Java, Swift","React, Django",5000+,139471
37,Germany,MASTERS,"Java, Ruby","Vue, Ruby on Rails",5000+,199691
30,USA,Some College,"JavaScript, C++","Django, Express",51-200,NA
14,India,Bachelors,"Swift, JavaScript","Django, Django",1001-5000,47640
20,USA,Masters,"Rust, PHP","Django, Express",11-50,
34,UK,Bachelors,"Java, Python","Angular, Ruby on Rails",11-50,168814
25,india,High School,"JavaScript, PHP","ASP.NET, Laravel",5000+,121278
1,USA,Masters,"C++, C++",,11-50,103577
4,Canada,Bachelors,"Python, PHP","Ruby on Rails, Flask",201-1000,69942
,USA,Masters,"Java, Ruby","Angular, Django",1-10,148458
40,Japan,Bachelors,"Go, Swift",,1-10,182510
27,USA,Bachelors,"Ruby, Python","Django, ASP.NET",1001-5000,163775
25,Australia,Some College,"Go, Go","Laravel, Ruby on Rails",1-10,114219
3,India,Bachelors,"Java, Go","Express, Django",1001-5000,
33,Germany,Bachelors,"Python, Ruby","Flask, React",5000+,152922
27,Canada,Bachelors,,"Spring, React",1001-5000,166441
6,Canada,Bachelors,"Rust, Rust","Vue, Laravel",5000+,78495
32,India,Some College,,"Ruby on Rails, Flask",11-50,116940
32,Singapore,Masters,,"Django, Spring",1-10,129488
19,USA,  Some College  ,"Python, Swift","Laravel, Vue",1001-5000,161378
13,Japan,Bachelors,"Python, Java","Spring, Ruby on Rails",11-50,90677
21,USA,Masters,"Go, C#","Django, Angular",1-10,148207
6,Australia,Masters,"Ruby, PHP","Laravel, Laravel",1-10,63339
-2,USA,,"JavaScript, C#","ASP.NET, Django",11-50,137148
10,USA,Bachelors,"C++, PHP","Spring, Vue",11-50,96617
36,USA,Bachelors,"Ruby, Rust","React, Express",11-50,190991
3,australia,Bachelors,"C#, Swift","Flask, Angular",51-200,60493
34,india,High School,"PHP, JavaScript","Vue, Django",5000+,118689
24,USA,Masters,"Python, Ruby","React, Flask",1-10,205000
39,UK,Bachelors,"Ruby, Java","React, Angular",11-50,204012
11,UNITED STATES,PhD,"C++, Python","Ruby on Rails, React",1-10,165356
3,Brazil,Bachelors,"C++, Rust","Django, Express",5000+,59741
30,USA,Masters,"Rust, Swift","React, Vue",11-50,171146
6,India,Bachelors,"PHP, C++","Spring, Spring",1001-5000,37826
,USA,PhD,"Java, Go","Express, Django",5000+,218028
,usa,Masters,"PHP, PHP","Spring, Ruby on Rails",1001-5000,141294
66,Japan,,"Java, PHP","ASP.NET, Spring",5000+,139907
